codigo_pais,nombre_pais,codigo_com_autonoma,nombre_com_autonoma,cod_provincia,nombre_provincia
724,España,PV,Comunidad Autonoma Del Pais Vasco,1,Araba/Alava
724,España,CM,Comunidad Autonoma De Castilla-La Mancha,2,Albacete
724,España,CV,Comunidad Valenciana,3,Alicante - Alacant
724,España,AN,Comunidad Autonoma De Andalucia,4,Almeria
724,España,CL,Comunidad Autonoma De Castilla Y Leon,5,Avila
724,España,EX,Comunidad Autonoma De Extremadura,6,Badajoz
724,España,IB,Comunidad Autonoma De Illes Balears,7,Illes Balears
724,España,CT,Comunidad Autonoma De Cataluña,8,Barcelona
724,España,CL,Comunidad Autonoma De Castilla Y Leon,9,Burgos
724,España,EX,Comunidad Autonoma De Extremadura,10,Caceres
724,España,AN,Comunidad Autonoma De Andalucia,11,Cadiz
724,España,CV,Comunidad Valenciana,12,Castellon/Castello
724,España,CM,Comunidad Autonoma De Castilla-La Mancha,13,Ciudad Real
724,España,AN,Comunidad Autonoma De Andalucia,14,Cordoba
724,España,GA,Comunidad Autonoma De Galicia,15,A Coruña
724,España,CM,Comunidad Autonoma De Castilla-La Mancha,16,Cuenca
724,España,CT,Comunidad Autonoma De Cataluña,17,Girona
724,España,AN,Comunidad Autonoma De Andalucia,18,Granada
724,España,CM,Comunidad Autonoma De Castilla-La Mancha,19,Guadalajara
724,España,PV,Comunidad Autonoma Del Pais Vasco,20,Gipuzkoa
724,España,AN,Comunidad Autonoma De Andalucia,21,Huelva
724,España,AR,Comunidad Autonoma De Aragon,22,Huesca
724,España,AN,Comunidad Autonoma De Andalucia,23,Jaen
724,España,CL,Comunidad Autonoma De Castilla Y Leon,24,Leon
724,España,CT,Comunidad Autonoma De Cataluña,25,Lleida
724,España,LR,Comunidad Autonoma De La Rioja,26,La Rioja
724,España,GA,Comunidad Autonoma De Galicia,27,Lugo
724,España,MD,Comunidad De Madrid,28,Madrid
724,España,AN,Comunidad Autonoma De Andalucia,29,Malaga
724,España,MU,Region De Murcia,30,Murcia
724,España,,Comunidad Foral De Navarra,31,Navarra
724,España,GA,Comunidad Autonoma De Galicia,32,Ourense
724,España,AS,Principado De Asturias,33,Asturias
724,España,CL,Comunidad Autonoma De Castilla Y Leon,34,Palencia
724,España,IC,Comunidad Autonoma De Canarias,35,Las Palmas
724,España,GA,Comunidad Autonoma De Galicia,36,Pontevedra
724,España,CL,Comunidad Autonoma De Castilla Y Leon,37,Salamanca
724,España,IC,Comunidad Autonoma De Canarias,38,S. C. Tenerife
724,España,CN,Comunidad Autonoma De Cantabria,39,Cantabria
724,España,CL,Comunidad Autonoma De Castilla Y Leon,40,Segovia
724,España,AN,Comunidad Autonoma De Andalucia,41,Sevilla
724,España,CL,Comunidad Autonoma De Castilla Y Leon,42,Soria
724,España,CT,Comunidad Autonoma De Cataluña,43,Tarragona
724,España,AR,Comunidad Autonoma De Aragon,44,Teruel
724,España,CM,Comunidad Autonoma De Castilla-La Mancha,45,Toledo
724,España,CV,Comunidad Valenciana,46,Valencia
724,España,CL,Comunidad Autonoma De Castilla Y Leon,47,Valladolid
724,España,PV,Comunidad Autonoma Del Pais Vasco,48,Bizkaia
724,España,CL,Comunidad Autonoma De Castilla Y Leon,49,Zamora
724,España,AR,Comunidad Autonoma De Aragon,50,Zaragoza
724,España,CE,Ciudad De Ceuta,51,Ceuta
724,España,ME,Ciudad De Melilla,52,Melilla
