location_id,address_1,address_2,city,state,zip,county,location_source_value
1,"Plaza del Conde del Valle de Suchil, 16",,Madrid,Comunidad de Madrid,28015,Madrid,"Madrid, Comunidad de Madrid, España"
2,"Avda. Monteprincipe, 25",,Boadilla del Monte,Comunidad de Madrid,28660,Madrid,"Boadilla del Monte, Comunidad de Madrid, España"
3,Avda. Castillo de Olivares s/n,,Torrelodones,Comunidad de Madrid,28250,Madrid,"Torrelodones, Comunidad de Madrid, España"
4,"Arapiles, 8",,Madrid,Comunidad de Madrid,28015,Madrid,"Madrid, Comunidad de Madrid, España"
5,"Oña, 10",,Madrid,Comunidad de Madrid,28050,Madrid,"Madrid, Comunidad de Madrid, España"
6,"Sierra de Atapuerca, 8",,Madrid,Comunidad de Madrid,28050,Madrid,"Madrid, Comunidad de Madrid, España"
7,Ronda de la Comunicación s/n,,Alcobendas,Comunidad de Madrid,28050,Madrid,"Alcobendas, Comunidad de Madrid, España"
8,"Pereda, 1-3",,Collado Villalba,Comunidad de Madrid,28400,Madrid,"Collado Villalba, Comunidad de Madrid, España"
9,"José Silva, 7",,Madrid,Comunidad de Madrid,28043,Madrid,"Madrid, Comunidad de Madrid, España"
10,"Avda Carlos V, 70",,Móstoles,Comunidad de Madrid,28938,Madrid,"Móstoles, Comunidad de Madrid, España"
11,Avenida de Cantabria s/n,,Boadilla del Monte,Comunidad de Madrid,28260,Madrid,"Boadilla del Monte, Comunidad de Madrid, España"
12,"C/ Virrey Osorio, 30 / c/ Filantropía, 3(Coronel Teijeiro, 3)",,A Coruña,Galicia,15011,A Coruña,"A Coruña, Galicia, España"
13,"Avda. Irlanda, 21, bajo, local D",,Toledo,Castilla - La Mancha,45005,Toledo,"Toledo, Castilla - La Mancha, España"
14,"Santiago, 14",,Alcalá de Henares,Comunidad de Madrid,28801,Madrid,"Alcalá de Henares, Comunidad de Madrid, España"
15,"Plaza de Cruz Verde, 1-3",,Alcalá de Henares,Comunidad de Madrid,28808,Madrid,"Alcalá de Henares, Comunidad de Madrid, España"
16,"Zaragoza, 6",,Alcalá de Henares,Comunidad de Madrid,28804,Madrid,"Alcalá de Henares, Comunidad de Madrid, España"
17,"Paseo de los Puentes, 7",,A Coruña,Galicia,15004,A Coruña,"A Coruña, Galicia, España"
18,"Paseo de los Puentes, 18",,A Coruña,Galicia,15011,A Coruña,"A Coruña, Galicia, España"
19,Enrique Mariñas (Edificio Coruña Sport Centre) Nº32G 2ª Planta,,A Coruña,Galicia,15009,A Coruña,"A Coruña, Galicia, España"
20,Calle Velázquez 25 1ª planta,,Madrid,Comunidad de Madrid,28001,Madrid,"Madrid, Comunidad de Madrid, España"
21,C/ Velázquez 25 1ª planta,,Madrid,Comunidad de Madrid,28001,Madrid,"Madrid, Comunidad de Madrid, España"
22,"Virgen de la Paloma, 15 Esq. con Virgen de Loreto, 21",,Torrejón de Ardoz,Comunidad de Madrid,28850,Madrid,"Torrejón de Ardoz, Comunidad de Madrid, España"
23,"Cardoso,S/N",,Torrejón de Ardoz,Comunidad de Madrid,28850,Madrid,"Torrejón de Ardoz, Comunidad de Madrid, España"
24,"Hilados, 9",,Torrejón de Ardoz,Comunidad de Madrid,28850,Madrid,"Torrejón de Ardoz, Comunidad de Madrid, España"
25,"Avda. Das Burgas, 2",,Santiago de Compostela,Galicia,15705,A Coruña,"Santiago de Compostela, Galicia, España"
26,"Avda. Buenos Aires, 102",,Lalín,Galicia,36500,Pontevedra,"Lalín, Galicia, España"
27,"Santiago de León de Caracas, 1",,Santiago de Compostela,Galicia,15701,A Coruña,"Santiago de Compostela, Galicia, España"
28,"Paseo de Alcobendas, 10",,Alcobendas,Comunidad de Madrid,28109,Madrid,"Alcobendas, Comunidad de Madrid, España"
29,"Avda. Manoteras, 10",,Madrid,Comunidad de Madrid,28050,Madrid,"Madrid, Comunidad de Madrid, España"
30,"Jose María Peridis, 2",,Getafe,Comunidad de Madrid,28902,Madrid,"Getafe, Comunidad de Madrid, España"
31,"Manuel Olivié, 11",,Vigo,Galicia,36203,Pontevedra,"Vigo, Galicia, España"
32,"Zamora, 10",,Vigo,Galicia,36203,Pontevedra,"Vigo, Galicia, España"
33,"Marqués de San Isidro, 11",,León,Castilla y León,24004,León,"León, Castilla y León, España"
34,"Plaça de l´Estació, 12",,Barcelona,Cataluña,08030,Barcelona,"Barcelona, Cataluña, España"
35,"Cardenal Landázuri, 2",,León,Castilla y León,24003,León,"León, Castilla y León, España"
36,"C\Luca de Tena, 10",,Madrid,Comunidad de Madrid,28027,Madrid,"Madrid, Comunidad de Madrid, España"
37,"Avda. de Vallcarca, 151",,Barcelona,Cataluña,08023,Barcelona,"Barcelona, Cataluña, España"
38,"Consell de Cent, 437",,Barcelona,Cataluña,08009,Barcelona,"Barcelona, Cataluña, España"
39,C/ Doctor Jaume Ferran i Clua nº6,,L'Hospitalet de Llobregat,Cataluña,08903,Barcelona,"L'Hospitalet de Llobregat, Cataluña, España"
40,Ctra.Barcelona 22-28,,Sant Andreu de la Barca,Cataluña,08740,Barcelona,"Sant Andreu de la Barca, Cataluña, España"
41,"Plaza del Conde del Valle de Suchil, 2",,Madrid,Comunidad de Madrid,28015,Madrid,"Madrid, Comunidad de Madrid, España"
42,"C/ Carles Altés, 22, Local 1",,Viladecans,Cataluña,08840,Barcelona,"Viladecans, Cataluña, España"
43,"C/ Marqués de San Isidro, 11",,León,Cataluña,24004,León,"León, Cataluña, España"
44,"Paseo de Sancha, 15",,Málaga,Andalucía,29016,Málaga,"Málaga, Andalucía, España"
45,Calle Sardinero s/n,,Torremolinos,Andalucía,29620,Málaga,"Torremolinos, Andalucía, España"
46,Avda Carlos Haya 121,,Málaga,Andalucía,29010,Málaga,"Málaga, Andalucía, España"
47,"Pº del General Martínez Campos, 17 - 1º Dcha.",,Madrid,Comunidad de Madrid,28010,Madrid,"Madrid, Comunidad de Madrid, España"
48,"Avenida de José Hierro, 94",,Rivas Vaciamadrid,Comunidad de Madrid,28521,Madrid,"Rivas Vaciamadrid, Comunidad de Madrid, España"
49,"Calle San Agustín, 1",,Málaga,Andalucía,29015,Málaga,"Málaga, Andalucía, España"
50,"Avda. facultad, 51",,León,Castilla y León,24005,León,"León, Castilla y León, España"
51,"Av. de los Derechos Humanos, 12",,Arganda del Rey,Comunidad de Madrid,28500,Madrid,"Arganda del Rey, Comunidad de Madrid, España"
52,"Av. de Juan Antonio Samaranch, 51",,Madrid,Andalucía,28055,Madrid,"Madrid, Andalucía, España"
53,"C/ Cobos de Segovia, 4",,Madrid,Comunidad de Madrid,28005,Madrid,"Madrid, Comunidad de Madrid, España"
